model,t_ns,nele_max,tele_max,pele_max
SNBOneCH (nonlocal),1.6000011377655994,1.4573612654579022e+23,1534.6258877381783,11.085377292540663
OneCH_ml (local),1.6000886887529584,1.4946251936574213e+23,1510.9556108257636,11.03979882396615
